S. No,Category,State/UT,Personal Revenge,Anger ,Fraud ,Extortion ,Causing Disrepute ,Prank ,Sexual Exploitation,Political Motives ,Terrorist Activities (Total),Terrorist Activities - Terrorist Recruitment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale Purchase Illegal Drugs,Developing own Business,Spreading Piracy,Psycho or Pervert ,Steal Information ,Abetment to Suicide,Others ,Total ,Year
35,Union Territory,Lakshadweep,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2018
36,Union Territory,Puducherry,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2018
Union Territory,Union Territory,Total UT(s),11,4,59,25,7,8,40,0,0,0,0,0,0,0,0,35,2,0,0,0,53,244,2018
Total All India,Total All India,Total All India,794,461,15051,1050,1212,296,2030,218,44,2,0,42,218,21,6,198,671,4,16,2,4956,27248,2018
,,,,,,,,,,,,,,,,,,,,,,,,,2018
1,State,Andhra Pradesh,16,17,1211,28,4,5,84,88,0,0,0,0,0,0,0,9,4,0,2,0,418,1886,2019
2,State,Arunachal Pradesh,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,2019
3,State,Assam,555,263,243,518,33,14,289,16,54,0,0,54,3,3,0,0,0,0,0,0,240,2231,2019
4,State,Bihar,27,7,844,109,0,5,8,0,0,0,0,0,0,0,2,46,0,0,0,0,2,1050,2019
5,State,Chhattisgarh,2,1,47,2,25,0,30,5,0,0,0,0,1,1,0,0,0,0,0,0,61,175,2019
6,State,Goa,2,1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2019
7,State,Gujarat,5,20,363,17,308,10,32,1,0,0,0,0,0,4,0,0,0,0,0,0,24,784,2019
8,State,Haryana,2,3,151,16,1,8,57,1,0,0,0,0,0,0,0,3,4,0,0,0,318,564,2019
9,State,Himachal Pradesh,7,3,15,7,6,1,22,1,4,0,0,4,0,0,0,0,1,0,0,0,9,76,2019
10,State,Jammu & Kashmir,5,0,27,4,1,0,5,2,1,1,0,0,2,0,0,0,0,0,0,0,26,73,2019
